DEPT,DPHI,NPHI,GR,CALI,ILD
464.25,0.322,0.422,55.498,247.47,3.896
464.5,0.321,0.407,57.262,247.309,3.973
464.75,0.32,0.416,59.526,247.154,4.044
465,0.319,0.425,59.742,246.899,4.124
465.25,0.316,0.429,57.294,246.858,4.183
465.5,0.309,0.445,56.457,246.803,4.211
465.75,0.3,0.428,55.933,246.949,4.254
466,0.268,0.278,52.736,247.21,4.289
466.25,0.182,0.21,46.752,247.579,4.367
466.5,0.081,0.196,41.762,247.942,4.478
466.75,0.038,0.204,38.693,248.088,4.679
467,0.06,0.237,43.807,248.36,4.935
467.25,0.118,0.307,50.477,248.399,5.579
467.5,0.222,0.387,54.91,248.459,6.132
467.75,0.268,0.4,54.011,248.722,6.579
468,0.298,0.403,53.736,249.076,6.784
468.25,0.288,0.408,54.444,249.332,6.23
468.5,0.302,0.415,55.289,249.921,5.819
468.75,0.326,0.427,55.441,250.383,5.435
469,0.327,0.41,55.779,250.833,5.028
469.25,0.314,0.394,56.368,251.2,4.592
469.5,0.296,0.42,56.956,251.252,4.139
469.75,0.245,0.414,56.496,251.299,4.006
470,0.141,0.365,54.358,251.359,4.225
470.25,0.061,0.21,47.563,251.312,4.867
470.5,0.022,0.214,45.054,251.257,5.379
470.75,0.001,0.197,46.261,251.504,6.024
471,0.008,0.18,47.285,251.465,7.004
471.25,0.04,0.201,47.565,251.3,8.158
471.5,0.187,0.289,50.079,251.464,9.29
471.75,0.253,0.356,52.775,252.752,11.361
472,0.282,0.397,56.156,254.873,14.668
472.25,0.306,0.419,49.118,256.262,12.131
472.5,0.309,0.435,44.934,258.395,9.717
472.75,0.299,0.424,46.513,259.373,7.237
473,0.299,0.426,57.333,260.154,6.041
473.25,0.302,0.424,63.442,260.826,5.09
473.5,0.308,0.409,62.358,261.178,4.428
473.75,0.31,0.417,62.201,261.329,4.066
474,0.313,0.42,63.412,261.381,3.812
474.25,0.305,0.395,63.94,262.056,3.696
474.5,0.284,0.418,65.148,262.325,3.686
474.75,0.262,0.435,67.536,262.373,3.731
475,0.235,0.406,69.43,262.428,3.805
475.25,0.218,0.4,65.18,262.058,3.902
475.5,0.222,0.42,62.734,261.706,4.009
475.75,0.235,0.45,66.425,261.563,4.222
476,0.25,0.424,70.794,261.492,4.321
476.25,0.259,0.414,72.066,261.443,4.366
476.5,0.256,0.437,74.141,261.503,4.403
476.75,0.254,0.467,74.111,261.542,4.448
477,0.256,0.433,68.003,261.698,4.486
477.25,0.256,0.414,65.058,263.004,4.524
477.5,0.259,0.401,68.997,263.978,4.528
477.75,0.269,0.396,65.742,264.851,4.533
478,0.25,0.408,62.423,266.047,4.563
478.25,0.244,0.421,63.513,266.715,4.567
478.5,0.251,0.416,66.269,267.189,4.605
478.75,0.202,0.417,73.557,267.544,4.61
479,0.182,0.425,73.959,268.734,4.64
479.25,0.181,0.437,69.22,270.131,4.679
479.5,0.228,0.449,65.962,271.313,4.727
479.75,0.258,0.431,66.612,272.194,4.688
480,0.28,0.415,70.178,269.661,4.597
480.25,0.245,0.398,72.691,265.579,4.449
480.5,0.202,0.403,72.288,261.708,4.354
480.75,0.215,0.424,68.535,257.53,4.383
481,0.245,0.417,63.669,253.849,4.436
481.25,0.266,0.399,59.11,249.975,4.55
481.5,0.274,0.394,57.84,250.031,4.545
